# year,co2_max,co2_min,co2_q1,co2_q3,co2_mean_valid,co2_mean
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751.0,2552.0,2552.0,2552.0,2552.0,2552.0,9.96875
1752.0,2553.0,2553.0,2553.0,2553.0,2553.0,9.97265625
1753.0,2553.0,2553.0,2553.0,2553.0,2553.0,9.97265625
1754.0,2554.0,2554.0,2554.0,2554.0,2554.0,9.9765625
1755.0,2555.0,2555.0,2555.0,2555.0,2555.0,9.98046875
1756.0,2731.0,2731.0,2731.0,2731.0,2731.0,10.66796875
1757.0,2732.0,2732.0,2732.0,2732.0,2732.0,10.671875
1758.0,2733.0,2733.0,2733.0,2733.0,2733.0,10.67578125
1759.0,2734.0,2734.0,2734.0,2734.0,2734.0,10.6796875
1760.0,2734.0,2734.0,2734.0,2734.0,2734.0,10.6796875
1761.0,2995.0,2995.0,2995.0,2995.0,2995.0,11.69921875
1762.0,2996.0,2996.0,2996.0,2996.0,2996.0,11.703125
1763.0,2997.0,2997.0,2997.0,2997.0,2997.0,11.70703125
1764.0,2998.0,2998.0,2998.0,2998.0,2998.0,11.7109375
1765.0,2999.0,2999.0,2999.0,2999.0,2999.0,11.71484375
1766.0,3346.0,3346.0,3346.0,3346.0,3346.0,13.0703125
1767.0,3347.0,3347.0,3347.0,3347.0,3347.0,13.07421875
1768.0,3348.0,3348.0,3348.0,3348.0,3348.0,13.078125
1769.0,3349.0,3349.0,3349.0,3349.0,3349.0,13.08203125
1770.0,3350.0,3350.0,3350.0,3350.0,3350.0,13.0859375
1771.0,3715.0,3715.0,3715.0,3715.0,3715.0,14.51171875
1772.0,3716.0,3716.0,3716.0,3716.0,3716.0,14.515625
1773.0,3717.0,3717.0,3717.0,3717.0,3717.0,14.51953125
1774.0,3718.0,3718.0,3718.0,3718.0,3718.0,14.5234375
1775.0,3719.0,3719.0,3719.0,3719.0,3719.0,14.52734375
1776.0,4104.0,4104.0,4104.0,4104.0,4104.0,16.03125
1777.0,4105.0,4105.0,4105.0,4105.0,4105.0,16.03515625
1778.0,4106.0,4106.0,4106.0,4106.0,4106.0,16.0390625
1779.0,4107.0,4107.0,4107.0,4107.0,4107.0,16.04296875
1780.0,4109.0,4109.0,4109.0,4109.0,4109.0,16.05078125
1781.0,4597.0,4597.0,4597.0,4597.0,4597.0,17.95703125
1782.0,4598.0,4598.0,4598.0,4598.0,4598.0,17.9609375
1783.0,4600.0,4600.0,4600.0,4600.0,4600.0,17.96875
1784.0,4601.0,4601.0,4601.0,4601.0,4601.0,17.97265625
1785.0,4603.0,1.0,2302.0,2302.0,2302.0,17.984375
1786.0,5226.0,1.0,2613.5,2613.5,2613.5,20.41796875
1787.0,5228.0,1.0,2614.5,2614.5,2614.5,20.42578125
1788.0,5229.0,1.0,2615.0,2615.0,2615.0,20.4296875
1789.0,5231.0,1.0,2616.0,2616.0,2616.0,20.4375
1790.0,5233.0,1.0,2617.0,2617.0,2617.0,20.4453125
1791.0,5845.0,1.0,2923.0,2923.0,2923.0,22.8359375
1792.0,5847.0,1.0,64.5,2987.5,1992.0,23.34375
1793.0,5849.0,1.0,66.0,2990.0,1993.6666666666667,23.36328125
1794.0,5850.0,1.0,61.0,2985.5,1990.6666666666667,23.328125
1795.0,5852.0,1.0,61.5,2987.0,1991.6666666666667,23.33984375
1796.0,6117.0,1.0,73.5,3131.5,2088.0,24.46875
1797.0,6425.0,1.0,75.5,3287.5,2192.0,25.6875
1798.0,6691.0,1.0,79.0,3424.0,2283.0,26.75390625
1799.0,7041.0,1.0,86.0,3606.0,2404.3333333333335,28.17578125
1800.0,7269.0,1.0,69.0,217.0,1533.4,29.94921875
1801.0,7290.0,1.0,73.0,146.0,1526.2,29.80859375
1802.0,7328.0,1.0,101.0,1178.5,1434.142857142857,39.21484375
1803.0,8240.0,1.0,81.0,146.0,1718.8,33.5703125
1804.0,8278.0,1.0,108.0,434.5,1560.6666666666667,36.578125
1805.0,8587.0,1.0,93.0,284.0,1824.2,35.62890625
1806.0,9075.0,1.0,91.0,256.0,1913.0,37.36328125
1807.0,9077.0,1.0,74.5,418.5,1677.3333333333333,39.3125
1808.0,9080.0,1.0,107.0,245.0,1914.0,37.3828125
1809.0,9083.0,1.0,110.0,254.0,1915.4,37.41015625
1810.0,9086.0,1.0,134.5,423.0,1700.3333333333333,39.8515625
1811.0,9706.0,1.0,141.5,406.5,1800.5,42.19921875
1812.0,10081.0,1.0,128.0,427.0,1865.3333333333333,43.71875
1813.0,10201.0,1.0,123.0,401.0,1875.0,43.9453125
1814.0,10395.0,1.0,145.0,406.0,1916.3333333333333,44.9140625
1815.0,10623.0,1.0,162.5,460.0,1978.1666666666667,46.36328125
1816.0,11309.0,1.0,183.0,666.5,2168.1666666666665,50.81640625
1817.0,11442.0,1.0,199.5,824.5,2248.5,52.69921875
1818.0,11469.0,1.0,232.5,807.0,2258.1666666666665,52.92578125
1819.0,11555.0,1.0,138.0,796.0,1947.4285714285713,53.25
1820.0,11607.0,1.0,147.5,857.5,1976.2857142857142,54.0390625
1821.0,11701.0,1.0,162.0,893.0,2005.4285714285713,54.8359375
1822.0,12151.0,1.0,168.0,928.0,2084.5714285714284,57.0
1823.0,12793.0,1.0,170.5,983.0,2204.8571428571427,60.2890625
1824.0,13396.0,1.0,193.0,921.0,2281.8571428571427,62.39453125
1825.0,13535.0,1.0,210.0,1132.0,2368.8571428571427,64.7734375
1826.0,13686.0,1.0,229.0,1129.5,2394.714285714286,65.48046875
1827.0,14255.0,1.0,243.5,1426.0,2570.0,70.2734375
1828.0,14353.0,1.0,227.5,1471.5,2598.1428571428573,71.04296875
1829.0,14557.0,1.0,66.5,1324.5,2265.125,70.78515625
1830.0,18522.0,1.0,3.5,1499.5,2027.0,95.015625
1831.0,17949.0,1.0,3.5,1235.5,1922.5,90.1171875
1832.0,17901.0,1.0,14.0,1114.0,2111.7272727272725,90.73828125
1833.0,17875.0,1.0,11.5,1220.5,2153.818181818182,92.546875
1834.0,17887.0,1.0,14.0,1203.5,2195.4545454545455,94.3359375
1835.0,17812.0,1.0,9.0,1322.5,2244.090909090909,96.42578125
1836.0,20864.0,1.0,14.5,1472.5,2599.6363636363635,111.703125
1837.0,20134.0,1.0,14.5,1630.5,2597.5454545454545,111.61328125
1838.0,20691.0,1.0,15.5,1740.5,2680.7272727272725,115.1875
1839.0,21228.0,1.0,12.5,1873.5,2538.5,118.9921875
1840.0,22096.0,1.0,11.5,2306.5,2704.9166666666665,126.79296875
1841.0,22336.0,1.0,22.0,2311.5,2788.8333333333335,130.7265625
1842.0,23300.0,1.0,22.5,2533.0,2945.4166666666665,138.06640625
1843.0,24316.0,1.0,24.0,2119.0,2789.153846153846,141.63671875
1844.0,25511.0,1.0,43.0,2540.0,2969.076923076923,150.7734375
1845.0,27289.0,1.0,27.0,3058.0,3258.5384615384614,165.47265625
1846.0,26117.0,7.0,44.5,2958.0,3076.1428571428573,168.2265625
1847.0,28261.0,9.0,46.0,3160.0,3360.9285714285716,183.80078125
1848.0,29827.0,11.0,80.0,3501.0,3649.153846153846,185.30859375
1849.0,31661.0,13.0,74.0,3718.0,3852.6923076923076,195.64453125
1850.0,33462.0,16.0,74.0,3339.5,3582.5333333333333,209.9140625
1851.0,31838.0,-17.0,67.0,3689.5,3616.133333333333,211.8828125
1852.0,31725.0,-15.0,75.0,4173.5,3775.4,221.21484375
1853.0,31550.0,-30.0,78.0,4441.5,3950.133333333333,231.453125
1854.0,38019.0,-35.0,105.5,5107.0,4639.933333333333,271.87109375
1855.0,35601.0,-36.0,90.0,5730.5,4435.625,277.2265625
1856.0,38312.0,-50.0,130.0,6023.0,5042.0,295.4296875
1857.0,37626.0,-57.0,158.0,6372.0,5088.8,298.171875
1858.0,36876.0,-67.0,88.5,3023.5,4079.0526315789475,302.7421875
1859.0,40942.0,-103.0,114.5,3003.5,4323.736842105263,320.90234375
1860.0,45838.0,1.0,87.0,1860.5,4102.681818181818,352.57421875
1861.0,47775.0,2.0,144.5,1917.0,4314.545454545455,370.78125
1862.0,46253.0,3.0,159.5,2068.5,4393.045454545455,377.52734375
1863.0,49188.0,3.0,188.0,2174.0,4688.409090909091,402.91015625
1864.0,52923.0,4.0,175.5,2223.5,5051.0,434.0703125
1865.0,56083.0,4.0,180.5,2425.5,5130.608695652174,460.953125
1866.0,57787.0,5.0,191.5,2234.0,5292.826086956522,475.52734375
1867.0,59327.0,6.0,214.0,2484.5,5669.913043478261,509.40625
1868.0,58193.0,3.0,186.5,2891.5,5580.791666666667,523.19921875
1869.0,61055.0,5.0,163.0,3015.5,5926.25,555.5859375
1870.0,62362.0,5.0,164.0,2010.0,5813.72,567.74609375
1871.0,66058.0,7.0,167.0,2768.0,6180.6,603.57421875
1872.0,69593.0,9.0,179.0,2731.0,6838.12,667.78515625
1873.0,72232.0,11.0,198.0,2928.0,7264.4,709.4140625
1874.0,70193.0,12.0,223.0,2498.0,6801.28,664.1875
1875.0,74096.0,13.0,319.0,2590.0,7377.72,720.48046875
1876.0,73968.0,13.0,348.0,5594.0,7796.041666666667,730.87890625
1877.0,75300.0,13.0,342.5,5509.0,7950.083333333333,745.3203125
1878.0,73956.0,13.0,333.5,4056.0,7395.923076923077,751.1484375
1879.0,74412.0,1.0,353.5,4281.5,7632.185185185185,804.95703125
1880.0,81093.0,13.0,398.5,6034.0,8631.444444444445,910.34765625
1881.0,85238.0,1.0,298.0,4981.0,8602.892857142857,940.94140625
1882.0,85962.0,1.0,429.0,5155.5,9422.296296296296,993.7578125
1883.0,89446.0,1.0,363.5,5655.5,9662.285714285714,1056.8125
1884.0,87090.0,1.0,328.0,4909.0,9434.103448275862,1068.70703125
1885.0,86051.0,1.0,306.0,4317.5,9187.666666666666,1076.6796875
1886.0,85270.0,2.0,336.0,5484.0,9653.379310344828,1093.546875
1887.0,87457.0,2.0,342.0,4574.0,9798.433333333332,1148.25390625
1888.0,102040.0,1.0,307.5,4843.0,10499.58064516129,1271.43359375
1889.0,94166.0,1.0,393.5,5025.5,10495.806451612903,1270.9765625
1890.0,109647.0,2.0,220.0,3558.0,10742.151515151516,1384.73046875
1891.0,116655.0,5.0,199.0,3942.0,10911.411764705883,1449.171875
1892.0,122939.0,13.0,121.5,3869.5,10390.444444444445,1461.15625
1893.0,123934.0,3.0,163.0,4442.5,10266.083333333334,1443.66796875
1894.0,116007.0,11.0,139.0,4409.0,10624.194444444445,1494.02734375
1895.0,130990.0,11.0,143.0,3693.0,10960.702702702703,1584.1640625
1896.0,131245.0,1.0,152.0,3761.5,11020.5,1635.85546875
1897.0,136541.0,11.0,181.0,3867.5,11542.21052631579,1713.296875
1898.0,148832.0,24.0,201.5,4497.0,12174.71052631579,1807.18359375
1899.0,170724.0,22.0,200.5,4973.0,12959.25641025641,1974.26171875
1900.0,180878.0,16.0,278.0,5464.0,14029.157894736842,2082.453125
1901.0,196923.0,13.0,393.0,6430.0,14121.948717948719,2151.390625
1902.0,208650.0,14.0,337.5,6904.0,14117.75,2205.8984375
1903.0,244106.0,14.0,425.0,6973.0,15026.024390243903,2406.51171875
1904.0,240235.0,1.0,421.0,6140.0,14823.92857142857,2432.05078125
1905.0,268695.0,4.0,442.0,6356.5,15782.047619047618,2589.2421875
1906.0,282025.0,1.0,477.5,7396.0,16576.119047619046,2719.51953125
1907.0,328003.0,2.0,554.0,8036.0,18745.190476190477,3075.3828125
1908.0,286838.0,1.0,427.0,8854.0,17617.697674418603,2959.22265625
1909.0,317509.0,7.0,394.5,8812.0,17897.06818181818,3076.05859375
1910.0,346405.0,14.0,363.0,7024.0,18352.844444444443,3226.0859375
1911.0,342900.0,3.0,404.0,7600.0,18687.755555555555,3284.95703125
1912.0,366051.0,1.0,405.0,8520.0,19570.11111111111,3440.05859375
1913.0,393044.0,2.0,367.0,8788.5,19851.729166666668,3722.19921875
1914.0,359088.0,3.0,321.5,8454.5,18396.808510638297,3377.5390625
1915.0,372617.0,5.0,273.0,8045.0,17769.5,3331.78125
1916.0,413826.0,1.0,201.0,6033.0,18407.88,3595.2890625
1917.0,455368.0,2.0,244.5,6018.0,19259.7,3761.66015625
1918.0,476415.0,5.0,223.0,6163.0,18626.843137254902,3710.81640625
1919.0,403098.0,5.0,242.0,6157.0,16143.509803921568,3216.08984375
1920.0,473769.0,1.0,268.5,7014.0,17728.11111111111,3739.5234375
1921.0,388093.0,2.0,251.5,6621.5,15555.314814814816,3281.19921875
1922.0,391192.0,7.0,307.5,7356.0,16938.55769230769,3440.64453125
1923.0,516924.0,4.0,404.0,8099.0,19218.76923076923,3903.8125
1924.0,462771.0,-90.0,489.5,8566.5,18565.51851851852,3916.1640625
1925.0,475136.0,9.0,540.0,9067.0,19049.32075471698,3943.8046875
1926.0,515430.0,11.0,727.5,8837.0,18406.944444444445,3882.71484375
1927.0,503504.0,11.0,645.0,8914.0,19384.446428571428,4240.34765625
1928.0,498850.0,1.0,551.5,7530.0,17290.15873015873,4255.0
1929.0,535027.0,1.0,605.0,7498.0,18588.190476190477,4574.4375
1930.0,475494.0,-318.0,267.5,7146.0,16910.53125,4227.6328125
1931.0,404771.0,-70.0,154.5,6564.5,14431.940298507463,3777.109375
1932.0,342904.0,1.0,143.5,6091.5,12828.661764705883,3407.61328125
1933.0,367681.0,1.0,33.0,5890.0,12582.986301369863,3588.1171875
1934.0,391482.0,1.0,45.0,6303.5,13879.597222222223,3903.63671875
1935.0,406731.0,1.0,104.5,6628.0,14580.722222222223,4100.828125
1936.0,466893.0,2.0,58.0,6974.0,15791.09589041096,4502.9296875
1937.0,488418.0,5.0,101.0,7876.0,16909.698630136987,4821.90625
1938.0,413051.0,9.0,127.0,7296.0,15945.17808219178,4546.8671875
1939.0,455203.0,1.0,102.5,7984.0,16386.933333333334,4800.859375
1940.0,510778.0,2.0,262.5,7623.0,18589.305555555555,5228.2421875
1941.0,556554.0,1.0,95.5,6154.0,18284.773333333334,5356.8671875
1942.0,598771.0,3.0,241.5,7260.5,19373.788732394365,5373.19921875
1943.0,618773.0,2.0,107.5,5831.5,18982.106666666667,5561.1640625
1944.0,666042.0,1.0,115.0,5536.0,19370.712328767124,5523.6796875
1945.0,642833.0,1.0,46.5,4149.5,15162.75641025641,4619.90234375
1946.0,614911.0,1.0,176.0,7331.0,16552.80769230769,5043.43359375
1947.0,677064.0,1.0,71.5,8261.0,17429.182926829268,5582.78515625
1948.0,703344.0,-995.0,50.0,6974.0,17677.329411764706,5869.42578125
1949.0,589517.0,1.0,75.0,7289.5,16644.837209302324,5591.625
1950.0,692124.0,-1473.0,29.0,2047.0,10598.570469798658,6168.69921875
1951.0,712983.0,-95.0,26.5,2229.5,11253.933774834437,6638.0625
1952.0,694618.0,-119.0,25.0,2544.0,11256.627450980392,6727.59375
1953.0,711175.0,-14.0,29.0,2362.0,11570.411764705883,6915.12890625
1954.0,677689.0,1.0,32.5,2490.5,11748.538961038961,7067.48046875
1955.0,742828.0,1.0,35.0,2944.5,12458.811320754718,7738.08984375
1956.0,778631.0,1.0,36.5,2989.5,13177.4,8235.875
1957.0,772001.0,1.0,44.0,3083.5,13418.438271604939,8491.35546875
1958.0,748069.0,1.0,42.5,2767.5,13426.449101796406,8758.66015625
1959.0,770642.0,1.0,33.5,3068.5,13561.32183908046,9217.4609375
1960.0,788300.0,3.0,43.0,3144.5,14286.69540229885,9710.48828125
1961.0,785521.0,1.0,40.0,3265.5,14199.965714285714,9707.0078125
1962.0,814619.0,1.0,34.0,3522.5,14456.0,10051.4375
1963.0,850622.0,1.0,32.0,3449.5,15193.782122905028,10623.77734375
1964.0,887918.0,2.0,36.5,3590.0,15531.809782608696,11163.48828125
1965.0,924713.0,1.0,41.0,3898.5,16258.21195652174,11685.58984375
1966.0,971333.0,2.0,50.5,4269.0,16997.255434782608,12216.77734375
1967.0,1007829.0,1.0,59.5,5031.5,17520.815217391304,12593.0859375
1968.0,1044820.0,-22.0,56.5,5776.5,18476.91304347826,13280.28125
1969.0,1097559.0,-222.0,65.0,6105.5,19719.271739130436,14173.2265625
1970.0,1180503.0,1.0,67.0,6613.5,21367.771739130436,15358.0859375
1971.0,1188102.0,1.0,68.0,6689.0,22108.491891891892,15976.83984375
1972.0,1244874.0,1.0,69.0,7084.0,22877.898395721924,16711.58984375
1973.0,1300844.0,1.0,90.0,7192.5,24213.87634408602,17592.89453125
1974.0,1254019.0,1.0,87.5,7101.0,24160.989247311827,17554.46875
1975.0,1201617.0,1.0,94.0,7736.5,24191.83870967742,17576.8828125
1976.0,1258004.0,1.0,90.5,8093.0,25523.940860215054,18544.73828125
1977.0,1293235.0,1.0,112.0,8621.5,26235.09139784946,19061.43359375
1978.0,1333750.0,1.0,108.5,9525.5,27223.586021505376,19779.63671875
1979.0,1336732.0,1.0,128.5,9917.0,27964.09677419355,20317.6640625
1980.0,1288031.0,1.0,135.0,10090.0,28008.52972972973,20240.5390625
1981.0,1236924.0,1.0,122.0,9417.0,27141.489247311827,19719.98828125
1982.0,1174461.0,1.0,133.0,9766.5,26998.44623655914,19616.05859375
1983.0,1184041.0,1.0,134.0,10290.5,27281.424731182797,19821.66015625
1984.0,1220396.0,1.0,152.0,10964.0,28246.405405405407,20412.44140625
1985.0,1225131.0,1.0,152.0,11103.0,29267.52972972973,21150.36328125
1986.0,1225924.0,1.0,142.5,12186.0,29508.548387096773,21439.8046875
1987.0,1278531.0,1.0,138.5,11108.5,30383.18181818182,22193.96484375
1988.0,1334204.0,1.0,151.0,11618.0,31550.930481283423,23046.96875
1989.0,1351263.0,1.0,172.0,12439.0,32036.213903743315,23401.453125
1990.0,1315354.0,2.0,148.0,11620.0,30223.720207253886,22785.8515625
1991.0,1314657.0,2.0,149.0,11980.0,31015.891191709845,23383.07421875
1992.0,1338842.0,2.0,177.0,12367.0,27550.521126760563,22922.89453125
1993.0,1371332.0,2.0,171.0,12309.0,27828.413145539907,23154.109375
1994.0,1389243.0,2.0,162.5,11741.0,27791.051401869157,23231.58203125
1995.0,1399760.0,1.0,160.0,11493.0,28347.630841121496,23696.84765625
1996.0,1432264.0,1.0,159.5,12497.5,29126.953271028036,24348.3125
1997.0,1464062.0,1.0,191.0,13108.0,29225.32242990654,24430.54296875
1998.0,1472869.0,1.0,178.5,13536.0,29075.76168224299,24305.51953125
1999.0,1501137.0,1.0,215.5,13330.0,29534.140186915887,24688.6953125
2000.0,1552682.0,1.0,200.5,13688.5,30424.50934579439,25432.98828125
2001.0,1525987.0,1.0,208.5,13726.0,30531.12558139535,25641.375
2002.0,1538399.0,1.0,192.0,13619.0,31062.064814814814,26208.6171875
2003.0,1547778.0,1.0,208.5,14699.5,32665.11574074074,27561.19140625
2004.0,1569696.0,1.0,216.0,14402.0,34204.73148148148,28860.2421875
2005.0,1608115.0,1.0,216.5,14135.5,35348.81481481482,29825.5625
2006.0,1780554.0,1.0,225.0,14728.0,36403.1935483871,30857.39453125
2007.0,1917316.0,1.0,218.0,14793.0,37281.81192660551,31747.79296875
2008.0,2059741.0,2.0,230.0,15187.0,38521.1198156682,32652.66796875
2009.0,2181895.0,1.0,231.0,14774.0,38136.078341013825,32326.28515625
2010.0,2393248.0,1.0,263.0,16345.0,40098.57603686636,33989.80859375
2011.0,2654360.0,2.0,285.0,14734.0,41670.96313364055,35322.65234375
2012.0,2734817.0,2.0,285.0,13986.0,42051.6301369863,35973.85546875
2013.0,2797384.0,2.0,288.5,15465.0,42167.666666666664,36073.12109375
2014.0,2806634.0,3.0,296.0,15458.0,42300.895454545454,36352.33203125
